dataset,split,feature,num_images,spearman_corr_with_grade,pearson_corr_with_grade,mean_grade_0,mean_grade_4,grade_4_minus_grade_0
IDRiD,ALL,hard_exudates_component_count,516,0.5684652574153943,0.40108379819018036,5.416666666666667,34.25806451612903,28.841397849462364
IDRiD,ALL,soft_exudates_component_count,516,0.4949365886066797,0.3190933407148296,0.9345238095238095,4.5,3.5654761904761907
IDRiD,ALL,lesion_presence_count,516,0.5877980280512901,0.58489909840956,2.5,3.7903225806451615,1.2903225806451615
APTOS2019,test,total_lesion_union_area_ratio,366,0.755535671004671,0.5248706248332323,0.0016052782835073458,0.021807583895596557,0.020202305612089213
APTOS2019,test,total_lesion_sum_area_ratio,366,0.7577595568011625,0.5374165090068952,0.001763904514025169,0.023266994591915204,0.021503090077890034
APTOS2019,test,microaneurysms_area_ratio,366,0.6787855015049873,0.5737115921866333,0.00020957831761343995,0.0014828768643465546,0.0012732985467331147
APTOS2019,test,haemorrhages_area_ratio,366,0.6292754284916351,0.3030514783429394,0.0009338723954243633,0.01221408266009703,0.011280210264672666
APTOS2019,test,hard_exudates_area_ratio,366,0.753004211294075,0.4348873668475124,0.00010976360071842902,0.006901480934836609,0.00679171733411818
APTOS2019,test,soft_exudates_area_ratio,366,0.36641342439943037,0.36066306621944105,0.000510690200268905,0.0026685541326349157,0.0021578639323660107
APTOS2019,test,microaneurysms_prob_mean,366,0.11858809299987412,0.05536766180597355,0.014455785703419424,0.014933961810487669,0.0004781761070682452
APTOS2019,test,haemorrhages_prob_mean,366,0.5132750472274683,0.29390955386394074,0.00419000405163018,0.014566999493223216,0.010376995441593036
APTOS2019,test,hard_exudates_prob_mean,366,0.7164258480811881,0.45371629524838253,0.005951962878356589,0.013619856400923266,0.007667893522566678
APTOS2019,test,soft_exudates_prob_mean,366,0.26504719058707177,0.30093116079800514,0.02360695690365892,0.02667883670691288,0.0030718798032539595
APTOS2019,test,microaneurysms_component_count,366,0.6403200477284885,0.5821398066150159,8.160804020100503,41.60606060606061,33.44525658596011
APTOS2019,test,haemorrhages_component_count,366,0.648041620780784,0.5954136842707162,3.613065326633166,18.727272727272727,15.114207400639561
APTOS2019,test,hard_exudates_component_count,366,0.7272269228054595,0.5827368128793061,2.608040201005025,37.121212121212125,34.5131719202071
APTOS2019,test,soft_exudates_component_count,366,0.2760204861690839,0.3217027173936423,3.0452261306532664,8.121212121212121,5.075985990558855
APTOS2019,test,lesion_presence_count,366,0.39722675331256385,0.35757258451778234,3.35678391959799,3.878787878787879,0.5220039591898891
APTOS2019,train,total_lesion_union_area_ratio,2930,0.7862559629796798,0.5979779505253748,0.001364602869690843,0.02047067625909785,0.019106073389407008
